cluster;d1;d2
1;-0.9379;0.2678
1;-1.7894;0.986
1;-1.1832;-0.3151
1;-1.5361;1.0876
1;-0.7912;0.419
1;-1.1148;0.4455
1;-1.3024;0.3619
1;-1.7734;2.058
1;-0.9615;0.444
1;-1.5644;0.9053
1;-1.7542;0.1991
1;-1.1203;0.2918
1;-2.0187;0.6173
1;-1.4901;0.8857
1;-1.3109;0.5729
1;-1.4806;1.1135
2;-0.6396;-0.0503
3;1.7267;0.8519
3;2.8245;-0.4168
3;1.6329;0.1976
3;2.6057;-0.1164
3;2.2756;0.3949
3;1.6766;0.7129
3;1.5301;0.6032
3;2.0443;0.2768
3;1.3191;1.1979
3;1.8331;0.2218
3;1.4297;1.5148
3;2.1325;-0.2468
3;1.7793;0.825
3;2.5254;0.3112
3;1.1278;0.4531
3;2.4889;-0.1325
3;1.0731;1.3284
3;3.0585;0.0957
3;1.5342;0.5096
3;2.4642;0.0592
3;2.8392;0.1095
3;1.8241;0.7104
3;1.4574;0.4094
3;1.6328;0.1682
3;1.9965;1.4385
3;1.82;0.4047
3;1.2792;0.7248
3;2.333;0.2598
3;1.6444;0.2379
3;2.5643;-0.165
3;2.244;0.1974
3;1.2832;1.0899
3;1.5332;0.7095
3;3.6131;-2.0034
3;2.3557;0.0528
3;2.1022;-0.2318
3;1.7145;1.3033
3;1.4172;0.0603
3;1.2507;1.0276
3;1.7523;-0.126
3;0.8661;1.1348
3;2.6645;-0.2767
3;1.3735;0.7989
3;1.9219;-0.1426
3;2.5378;-0.4086
3;1.8712;1.0932
3;1.2748;0.6972
3;2.5611;-0.4277
3;2.0844;1.0944
3;1.7126;0.3702
3;1.7105;0.5434
3;2.5779;0.3641
3;1.2539;0.6446
3;2.4874;-0.1711
3;1.9703;0.5162
3;1.8333;0.4821
3;1.13;0.9649
3;1.9356;0.5135
3;1.037;0.9064
3;2.7566;-0.2209
3;1.2029;0.7535
3;2.2496;0.4825
3;1.5826;0.701
3;3.3045;-0.8973
3;1.9158;0.6504
3;2.688;-0.529
3;1.6627;0.521
3;2.8356;-0.2996
3;1.7815;0.9964
3;2.8117;-0.1816
3;1.7775;0.1423
3;1.8989;0.2089
3;2.1011;-0.0462
3;2.0694;0.4469
3;1.646;0.3298
3;2.8562;-0.1067
3;1.575;0.3703
3;2.6996;-0.5476
3;1.8381;0.8574
3;2.3157;0.3043
3;1.7616;0.0519
3;2.6567;-0.639
3;1.6735;0.2932
3;2.4499;-0.3612
3;1.6939;0.8993
3;2.4965;-0.838
3;1.5791;0.9376
3;2.6856;-0.0863
3;1.9247;0.4711
3;2.7163;-0.953
3;1.974;0.2041
3;2.5206;-1.0208
3;1.5697;0.6102
3;2.5595;-0.2986
3;1.5915;0.7202
3;2.5421;-0.4444
3;1.8271;-0.3142
3;2.1382;0.4008
3;1.3685;0.1759
3;2.3631;-0.7106
3;2.025;0.0403
3;2.9568;-1.5175
3;1.7249;0.1074
3;2.8597;0.0562
3;2.0218;0.5399
3;1.8922;0.0746
3;1.1188;1.1137
3;2.6283;-0.8255
3;1.2476;1.0522
3;1.9907;0.1579
3;2.1052;-0.2973
3;3.0292;-0.237
3;1.2231;0.6973
3;2.8077;-0.6714
3;1.6771;0.5686
3;3.3829;-1.0739
3;1.4867;0.4427
3;2.63;-0.1722
3;2.0882;0.6109
3;1.9038;0.4901
3;2.7094;-0.307
3;1.7683;0.6367
3;1.9815;-0.4071
2;-0.8051;-0.7129
2;-0.5038;-1.6293
2;-0.6171;-1.7791
2;-1.2282;-0.776
2;-0.4453;-2.1444
2;-0.3427;-0.4166
2;-1.6381;-0.79
2;-0.1474;-1.4757
2;-0.5393;-0.8228
2;-0.5519;-1.9656
2;-0.5367;-0.654
2;-0.7313;-2.1324
2;-0.7741;-0.5949
2;0.288;-1.5036
2;-0.6886;-0.3864
2;-0.1897;-1.7052
2;-0.954;-1.9044
2;-0.2212;-2.3907
2;-1.0961;-0.9065
2;0.037;-1.0665
1;-1.3509;0.0759
2;-0.6619;-0.915
1;-1.3352;0.0574
2;-0.6207;-1.7088
2;-0.7993;-0.7695
2;-0.0267;-1.7489
2;-0.3641;-1.4614
2;-0.3241;-1.4228
2;-0.6982;-0.6409
2;0.3767;-2.0855
1;-1.3138;0.4468
2;-0.0361;-2.5642
1;-1.1184;0.2007
2;0.1559;-1.5432
2;-0.5449;-1.3739
2;0.0823;-0.4834
2;-0.4683;-0.9366
2;0.5119;-2.1224
2;-0.9824;-0.5219
2;0.4215;-2.1695
2;0.0193;-1.4573
2;-0.8351;-0.5372
2;-0.5672;-1.7024
2;-0.501;-0.3029
2;-0.1945;-1.3426
2;0.3613;-1.3781
2;-0.6778;-1.2697
2;0.3047;-1.4318
2;-0.9849;-1.7325
2;-0.0517;-1.0049
2;-0.1509;-0.5449
2;-0.0412;-1.6844
2;-0.6146;-0.4065
2;-0.1179;-1.7616
1;-1.2639;0.03
2;-0.4206;-1.8258
2;-0.7925;-0.1864
2;-0.2728;-1.6085
2;-0.1415;-1.4688
2;-1.14;-0.9988
2;0.0778;-1.8964
2;-0.4661;-0.3406
2;-0.4282;-0.3116
2;0.3746;-2.558
2;-0.7424;-0.3244
2;-0.422;-1.2213
2;0.3754;-1.5628
2;-0.2954;-1.4482
